recipe_id,step_no,action,description,time,temperature,scalable,preferred_energy
1,1,prepare,"Take required amount of raw rice in a bowl and wash it 2 to 3 times with clean water until excess starch is removed and water becomes clearer, then drain completely",3,low,no,none
1,2,boil,"Pour required amount of water into a cooking pot and place it on heat, allow the water to reach a rolling boil on high flame",5,high,yes,induction
1,3,cook,"Add washed rice into boiling water, reduce heat to medium, cover with lid and cook until water is absorbed and rice becomes soft and fluffy",12,medium,yes,lpg

2,1,prepare,"Measure rice properly, wash thoroughly multiple times to remove impurities and excess starch, then drain water completely",3,low,no,none
2,2,boil,"Add fresh water into a vessel and heat it on high until it starts boiling rapidly",5,high,yes,induction
2,3,cook,"Add rice into boiling water, lower flame to medium, cover and cook until rice grains are soft and properly cooked",12,medium,yes,lpg

3,1,prepare,"Wash basmati rice gently and soak it in water for around 10 minutes to improve texture, then drain all water",5,low,no,none
3,2,heat,"Place a pan on stove and add ghee, heat it on medium flame until fully melted",2,medium,no,lpg
3,3,fry,"Add whole spices like cloves, cinnamon, bay leaf and cashew nuts into hot ghee and fry until aromatic and lightly golden",3,medium,no,lpg
3,4,boil,"Add measured water into the pan and increase heat to high until it starts boiling",5,high,yes,induction
3,5,cook,"Add soaked rice into boiling mixture, mix gently, cover and cook on medium flame until rice is fluffy and separated",12,medium,yes,lpg

4,1,prepare,"Wash rice properly and soak for a few minutes, then drain completely",4,low,no,none
4,2,heat,"Heat oil or ghee in a pan on medium flame",2,medium,no,lpg
4,3,fry,"Add cumin seeds into hot oil and allow them to crackle releasing aroma",2,medium,no,lpg
4,4,boil,"Add water and bring it to boil on high flame",5,high,yes,induction
4,5,cook,"Add rice, cover and cook on medium flame until fully cooked and aromatic",12,medium,yes,lpg

5,1,prepare,"Wash rice thoroughly and keep aside after draining water",3,low,no,none
5,2,heat,"Heat oil in a pan on medium flame",2,medium,no,lpg
5,3,fry,"Add chopped onions, green chillies and curry leaves, sauté until onions turn soft and slightly golden",4,medium,no,lpg
5,4,cook,"Add chopped tomatoes and cook until they become soft and release oil",6,medium,no,lpg
5,5,boil,"Add water and bring mixture to boil",5,high,yes,induction
5,6,cook,"Add rice, mix well, cover and cook until rice absorbs all flavors and becomes soft",12,medium,yes,lpg

6,1,prepare,"Cook plain rice separately and allow it to cool slightly",15,medium,yes,lpg
6,2,heat,"Heat oil in a pan and keep flame medium",2,medium,no,lpg
6,3,fry,"Add mustard seeds, peanuts and curry leaves, fry until peanuts become crunchy",4,medium,no,lpg
6,4,mix,"Add cooked rice and mix gently with tempering",3,low,yes,none
6,5,finish,"Turn off heat and add fresh lemon juice, mix properly to avoid bitterness",2,low,no,none

7,1,prepare,"Cook plain rice and keep aside",15,medium,yes,lpg
7,2,heat,"Heat oil in a pan on medium flame",2,medium,no,lpg
7,3,cook,"Add tamarind pulp and spices, cook until mixture thickens and raw smell disappears",6,medium,no,lpg
7,4,mix,"Add cooked rice into tamarind mixture and mix well",4,low,yes,none

8,1,prepare,"Cook rice and keep ready for mixing",15,medium,yes,lpg
8,2,heat,"Heat oil in a pan on medium flame",2,medium,no,lpg
8,3,fry,"Add mustard seeds, green chillies and curry leaves, sauté properly",3,medium,no,lpg
8,4,mix,"Add grated coconut and cooked rice, mix evenly without breaking rice grains",4,low,yes,none

9,1,prepare,"Cook rice until soft and allow it to cool slightly",15,medium,yes,lpg
9,2,mix,"Add curd and mix thoroughly with rice to form creamy consistency",3,low,yes,none
9,3,heat,"Prepare tempering by heating oil and adding mustard seeds and curry leaves",3,medium,no,lpg
9,4,finish,"Pour tempering over curd rice and mix well",2,low,no,none

10,1,prepare,"Cook rice and dal separately until soft",20,medium,yes,lpg
10,2,heat,"Heat oil in a large pot on medium flame",2,medium,no,lpg
10,3,cook,"Add vegetables and sauté for few minutes",5,medium,no,lpg
10,4,boil,"Add water and bring to boil",5,high,yes,induction
10,5,cook,"Add sambar spices and tamarind, cook until flavors blend well",10,medium,no,lpg
10,6,mix,"Add cooked rice and dal into mixture and cook for few more minutes",5,medium,yes,lpg

11,1,prepare,"Wash rice and chop vegetables required for masala rice",5,low,no,none
11,2,heat,"Heat oil in a pan on medium flame",2,medium,no,lpg
11,3,fry,"Add onions and sauté until golden brown",5,medium,no,lpg
11,4,cook,"Add vegetables and spices, cook until partially soft",6,medium,no,lpg
11,5,boil,"Add water and bring to boil",5,high,yes,induction
11,6,cook,"Add rice, cover and cook until everything is well combined and rice is cooked",12,medium,yes,lpg
12,1,prepare,"Wash basmati rice thoroughly 2–3 times to remove excess starch and soak it in water for around 10 minutes, then drain completely",5,low,no,none
12,2,heat,"Place a pressure cooker or deep pan on stove, add oil and heat on medium flame",2,medium,no,lpg
12,3,fry,"Add whole spices like bay leaf, cloves, cinnamon and sauté until aromatic",2,medium,no,lpg
12,4,fry,"Add chopped vegetables like carrot, beans and peas, sauté for a few minutes until slightly soft",5,medium,no,lpg
12,5,boil,"Add water and bring mixture to a rolling boil on high flame",5,high,yes,induction
12,6,cook,"Add soaked rice, mix gently, cover and cook until rice is fluffy and vegetables are cooked properly",12,medium,yes,lpg

13,1,prepare,"Wash rice properly and soak for 10 minutes, then drain all water",5,low,no,none
13,2,heat,"Heat oil or ghee in a pan on medium flame",2,medium,no,lpg
13,3,fry,"Add cumin seeds and whole spices, sauté until aromatic",2,medium,no,lpg
13,4,fry,"Add green peas and cook for a few minutes",4,medium,no,lpg
13,5,boil,"Add water and allow it to boil properly",5,high,yes,induction
13,6,cook,"Add rice, cover and cook until rice is soft and peas are well cooked",12,medium,yes,lpg

14,1,prepare,"Use pre-cooked and cooled rice to avoid sticking and keep grains separate",2,low,no,none
14,2,heat,"Heat oil in a wok or pan on high flame",2,high,no,lpg
14,3,fry,"Add chopped garlic and vegetables, stir fry quickly on high heat",4,high,no,lpg
14,4,cook,"Add cooked rice and mix continuously while tossing to avoid breaking grains",5,medium,yes,lpg
14,5,finish,"Add soy sauce and mix evenly, cook for another minute and turn off heat",2,low,no,none

15,1,prepare,"Beat eggs in a bowl and keep aside, ensure rice is pre-cooked and cooled",3,low,no,none
15,2,heat,"Heat oil in pan on medium flame",2,medium,no,lpg
15,3,fry,"Pour beaten eggs into pan and scramble until fully cooked",3,medium,no,lpg
15,4,fry,"Add vegetables and sauté for a few minutes",4,medium,no,lpg
15,5,cook,"Add rice and mix properly with egg and vegetables",5,medium,yes,lpg
15,6,finish,"Add soy sauce and mix well before turning off heat",2,low,no,none

16,1,prepare,"Clean and cut chicken into small pieces and keep ready, use pre-cooked rice",5,low,no,none
16,2,heat,"Heat oil in pan on medium flame",2,medium,no,lpg
16,3,fry,"Add chicken pieces and cook until fully tender and no longer pink",8,medium,no,lpg
16,4,fry,"Add vegetables and sauté well",4,medium,no,lpg
16,5,cook,"Add cooked rice and mix thoroughly with chicken and vegetables",5,medium,yes,lpg
16,6,finish,"Add sauces and mix evenly, cook briefly and turn off heat",2,low,no,none

17,1,prepare,"Take wheat flour in a bowl, add water gradually and knead into a soft dough, then rest for 10 minutes",10,low,no,none
17,2,roll,"Divide dough into small balls and roll into thin circular shape using rolling pin",5,low,no,none
17,3,heat,"Heat a tawa or flat pan on medium flame",2,medium,no,lpg
17,4,cook,"Place rolled roti on hot tawa, cook until bubbles appear then flip and cook both sides until light brown spots appear",5,medium,yes,lpg

18,1,prepare,"Knead wheat flour with water into smooth dough and rest it properly",10,low,no,none
18,2,roll,"Roll dough into flat circular shape evenly",5,low,no,none
18,3,heat,"Heat tawa on medium flame",2,medium,no,lpg
18,4,cook,"Cook chapati on both sides, pressing gently to ensure even cooking",5,medium,yes,lpg

19,1,prepare,"Mix wheat flour, besan, spices, onion and water to form dough",10,low,no,none
19,2,roll,"Shape dough into flat thick roti using hands or rolling pin",5,low,no,none
19,3,heat,"Heat tawa on medium flame",2,medium,no,lpg
19,4,cook,"Cook roti on both sides with slight oil until golden and cooked properly",6,medium,yes,lpg

20,1,prepare,"Mix bajra flour with warm water and knead into soft dough",8,low,no,none
20,2,roll,"Flatten dough using hands carefully into round shape",6,low,no,none
20,3,heat,"Heat tawa on medium flame",2,medium,no,lpg
20,4,cook,"Cook on both sides until done, pressing gently to avoid breaking",6,medium,yes,lpg

