custom_id,custom_name,step_no,action,description,time,temperature,scalable,preferred_energy,applicable_actions
1,cheese,1,finish,"Add grated cheese on top and mix until melted",2,low,no,none,"finish,mix"
2,butter,1,finish,"Add butter at final stage for richer taste",1,low,no,none,"finish"
3,ghee,1,finish,"Add ghee at final stage for aroma and flavor",1,low,no,none,"finish"
4,oil_reduce,1,heat,"Use minimal oil while heating for healthier cooking",0,low,no,lpg,"heat"
5,oil_increase,1,heat,"Increase oil quantity slightly for better frying",1,low,no,lpg,"heat,fry"
6,garlic,1,fry,"Add chopped garlic while frying for aroma",2,medium,no,lpg,"fry"
7,ginger,1,fry,"Add ginger paste while frying for flavor",2,medium,no,lpg,"fry"
8,spicy_high,1,fry,"Add extra green chilli or red chilli powder",2,medium,no,lpg,"fry,cook"

9,spicy_low,1,cook,"Reduce spice quantity during cooking",0,low,no,none,"cook"

10,vegetables_basic,1,prepare,"Wash and chop vegetables like carrot, beans, peas",4,low,no,none,"prepare"
10,vegetables_basic,2,fry,"Add vegetables and sauté until slightly soft",4,medium,no,lpg,"fry,cook"

11,vegetables_extra,1,prepare,"Chop additional vegetables for more nutrition",5,low,no,none,"prepare"
11,vegetables_extra,2,cook,"Cook vegetables thoroughly with dish",6,medium,no,lpg,"cook"

12,chicken,1,prepare,"Clean and cut chicken pieces properly",3,low,no,none,"prepare"
12,chicken,2,fry,"Cook chicken pieces until fully tender",8,medium,no,lpg,"fry,cook"

13,egg,1,fry,"Crack egg and cook in pan before mixing with dish",4,medium,no,lpg,"fry,cook"

14,paneer,1,fry,"Cut paneer into cubes and fry lightly",5,medium,no,lpg,"fry,cook"

15,soy_chunks,1,boil,"Boil soy chunks in water until soft",5,high,no,induction,"boil"
15,soy_chunks,2,cook,"Add soy chunks into main dish and cook",5,medium,no,lpg,"cook"

16,extra_water,1,boil,"Add extra water for softer consistency",1,low,yes,induction,"boil"

17,less_water,1,boil,"Reduce water quantity for firmer texture",0,low,yes,none,"boil"

18,fast_cooking,1,boil,"Use high heat to speed up cooking process",0,high,yes,induction,"boil,cook"

19,slow_cooking,1,cook,"Cook on low flame for better flavor absorption",5,low,yes,lpg,"cook"

20,roasting,1,roast,"Lightly roast ingredients before cooking",4,medium,no,lpg,"roast"

21,smoky_flavor,1,finish,"Add smoky effect using heated charcoal method",3,low,no,lpg,"finish"

22,curd,1,mix,"Add curd and mix to create creamy texture",2,low,no,none,"mix"

23,milk,1,mix,"Add milk to improve consistency",2,low,no,none,"mix"

24,lemon,1,finish,"Add lemon juice at end for tangy flavor",1,low,no,none,"finish"

25,tamarind,1,cook,"Add tamarind pulp during cooking for sour taste",3,medium,no,lpg,"cook"

26,coconut,1,mix,"Add grated coconut and mix evenly",3,low,no,none,"mix"

27,nuts,1,fry,"Fry cashews or peanuts and add to dish",3,medium,no,lpg,"fry"

28,sweet_touch,1,mix,"Add small amount of sugar or jaggery",1,low,no,none,"mix"

29,masala_extra,1,cook,"Add extra masala for strong flavor",2,medium,no,lpg,"cook"

30,low_salt,1,cook,"Reduce salt quantity",0,low,no,none,"cook"

31,high_salt,1,cook,"Increase salt slightly",0,low,no,none,"cook"

32,herbs,1,finish,"Add fresh coriander or herbs before serving",1,low,no,none,"finish"

33,steam_finish,1,steam,"Cover and steam dish for final texture",5,low,no,lpg,"steam"

34,double_cook,1,cook,"Cook dish again briefly for enhanced blending",3,medium,no,lpg,"cook"

35,crispy,1,fry,"Fry longer for crispy texture",3,medium,no,lpg,"fry"

36,soft_texture,1,cook,"Cook longer with moisture for softer texture",4,low,no,lpg,"cook"

37,pressure_cook,1,pressure,"Use pressure cooking for faster preparation",7,high,yes,lpg,"cook"

38,induction_only,1,boil,"Prefer induction cooking for efficiency",0,high,yes,induction,"boil"

39,lpg_only,1,cook,"Prefer LPG cooking for better taste",0,medium,yes,lpg,"cook"

40,hybrid_mode,1,boil,"Start with induction then switch to LPG for cooking",0,high,yes,induction,"boil,cook"
41,protein_boost,1,mix,"Add protein powder or high-protein ingredient and mix well",2,low,no,none,"mix"

42,fiber_rich,1,prepare,"Add fiber-rich ingredients like oats or bran before cooking",3,low,no,none,"prepare,cook"

