action,energy_type,efficiency,time_factor,cost_per_unit,priority
boil,induction,high,0.8,6,1
boil,lpg,medium,1.2,10,2
boil,solar,low,1.5,0,3
fry,lpg,high,1.0,10,1
fry,induction,medium,1.3,6,2
fry,solar,low,2.0,0,3
cook,lpg,high,1.0,10,1
cook,induction,medium,1.1,6,2
cook,solar,low,1.8,0,3
prepare,none,high,1.0,0,1
mix,none,high,1.0,0,1
finish,none,high,1.0,0,1
heat,lpg,high,1.0,10,1
heat,induction,high,0.9,6,1
steam,lpg,medium,1.2,10,1
steam,induction,high,1.0,6,1
pressure,lpg,high,0.7,10,1
roast,lpg,high,1.0,10,1
grill,lpg,high,1.1,10,1
boil_fast,induction,high,0.6,6,1
slow_cook,lpg,medium,1.5,10,2
